downloaded,language,form,dataset_name,child_id,age,comprehension,production,caregiver_education,sex,monolingual
2022-11-11,Danish,WS,Bleses,8812,21,135,135,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8814,21,250,250,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8815,21,114,114,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8816,21,704,704,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8817,21,56,56,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8818,21,113,113,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8819,21,91,91,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8821,21,121,121,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8824,21,78,78,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8825,21,19,19,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8827,20,118,118,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8828,20,272,272,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8832,20,29,29,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8833,20,152,152,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8834,20,297,297,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8835,20,5,5,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8838,20,26,26,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8839,20,47,47,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8840,20,48,48,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8841,20,48,48,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8848,21,30,30,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8851,20,43,43,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8853,20,85,85,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8854,20,90,90,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8859,19,45,45,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8862,19,41,41,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8868,19,9,9,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8870,19,39,39,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8872,19,115,115,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8873,19,30,30,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8875,19,37,37,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8877,19,157,157,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8880,19,10,10,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8881,19,145,145,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8884,19,15,15,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8887,19,19,19,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8890,19,39,39,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8891,18,24,24,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8893,18,68,68,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8896,18,29,29,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8897,18,17,17,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8899,18,32,32,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8900,18,120,120,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8904,18,18,18,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8905,18,25,25,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8906,18,17,17,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8910,18,19,19,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8911,18,47,47,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8915,18,35,35,Some College,Male,TRUE
